SIGN, B365A, BWA, IWA, LBA, PSA, WHA, SJA, VCA
1, 4.33, 4.25, 4.25, 4, 3.75, 4.5, 4.2, 4.75
0, 2.5, 2.45, 2.5, 2.4, 2.38, 2.55, 2.6, 2.5
1, 2.75, 2.7, 2.7, 2.65, 2.62, 2.75, 2.62, 2.7
1, 3.75, 3.75, 3.6, 3.6, 3.4, 3.6, 3.5, 3.75
0, 3.2, 3.1, 3.25, 3.1, 2.8, 3.15, 3, 3.2
1, 8, 7, 7, 7, 7, 8, 7.5, 8
1, 6, 5.25, 5.5, 5.2, 5, 6.25, 5.5, 6.5
1, 8.5, 9, 9, 8, 8, 9, 9, 10
-1, 1.33, 1.37, 1.33, 1.35, 1.33, 1.35, 1.33, 1.33
1, 12, 11, 11, 10.5, 10, 11, 11, 12
1, 2.4, 2.4, 2.4, 2.4, 2.38, 2.5, 2.38, 2.5
-1, 1.73, 1.67, 1.72, 1.8, 1.67, 1.75, 1.73, 1.67
1, 3.6, 3.5, 3.5, 3.3, 3.2, 3.5, 3.4, 3.4
0, 3.2, 3.1, 3, 3.1, 3.2, 3.4, 3.2, 3.1
-1, 3.2, 3.4, 3.4, 3.1, 3.2, 3.4, 3.4, 3.2
1, 19, 15, 15, 14, 13, 17, 11, 17
0, 4.75, 4.75, 4.75, 4.4, 3.75, 4.8, 4.4, 4.75
1, 13, 12.5, 11, 13, 11, 13, 9, 13
0, 1.67, 1.67, 1.65, 1.65, 1.62, 1.7, 1.65, 1.62
1, 3.25, 3.3, 3.2, 3.3, 3, 3.2, 3, 3.1
0, 4.5, 4.5, 4.5, 4.2, 4, 4.5, 4, 4.75
-1, 3.25, 3.1, 3.2, 3, 3, 3.25, 3, 3.1
-1, 1.73, 1.75, 1.85, 1.9, 1.8, 1.8, 1.75, 1.73
0, 2.38, 2.35, 2.3, 2.4, 2.5, 2.4, 2.3, 2.38
0, 2.38, 2.4, 2.3, 2.3, 2.37, 2.38, 2.25, 2.4
-1, 3.4, 3.3, 3.1, 3.1, 3.2, 3.3, 3.3, 3.4
1, 5.5, 5, 5, 4.7, 4.5, 5.2, 4.6, 5.75
-1, 1.3, 1.26, 1.33, 1.3, 1.28, 1.29, 1.25, 1.29
1, 6, 5.25, 5.5, 5.2, 5, 5.75, 5.5, 6
1, 4, 4.6, 4, 3.7, 3.75, 4, 3.8, 4.2
-1, 1.8, 1.83, 1.85, 1.85, 1.66, 1.85, 1.83, 1.87
0, 2.38, 2.35, 2.25, 2.3, 2.2, 2.25, 2.3, 2.38
1, 17, 20, 17, 16, 15, 19, 17, 19
0, 3.25, 3.3, 3.1, 3.3, 3.2, 3.25, 3.2, 3.1
1, 17, 18.5, 17, 14, 13, 17, 15, 17
-1, 3.25, 3, 3, 2.8, 3, 3.1, 3, 3.1
0, 4.2, 4.1, 4, 4.2, 3.75, 4.2, 4.2, 4.2
1, 3.1, 2.95, 2.75, 3, 2.75, 2.95, 3.1, 2.8
1, 3, 2.9, 2.75, 2.9, 2.7, 2.8, 2.88, 2.75
0, 4.2, 3.9, 4, 4, 3.5, 4.2, 3.75, 4.2
-1, 2.63, 2.65, 2.6, 2.6, 2.5, 2.5, 2.5, 2.6
1, 17, 20, 19, 14, 15, 17, 13, 19
1, 4.2, 4, 4, 4.2, 3.4, 4.2, 3.75, 4.2
1, 4, 3.9, 3.6, 3.6, 3.4, 4.2, 3.75, 4
1, 9, 13, 10, 12, 9, 11, 9, 11
1, 10, 8, 8.5, 8.5, 8, 9.5, 7, 10
0, 1.67, 1.62, 1.65, 1.7, 1.67, 1.65, 1.6, 1.64
1, 4, 4.4, 4, 3.8, 3.4, 4.2, 3.8, 4
-1, 1.25, 1.31, 1.3, 1.3, 1.25, 1.3, 1.3, 1.3
0, 3.5, 3.6, 3.4, 3.1, 3, 3.5, 3.3, 3.4
1, 1.29, 1.33, 1.35, 1.35, 1.3, 1.35, 1.3, 1.33
-1, 3.4, 3.5, 3.25, 3.1, 3.2, 3.4, 3.2, 3.3
-1, 2.75, 2.9, 2.75, 2.8, 2.8, 2.95, 2.7, 2.88
1, 10, 9.25, 8.5, 8, 9, 10, 10, 10
-1, 2.2, 2.2, 2.25, 2.3, 2.2, 2.3, 2.15, 2.25
1, 15, 14.5, 13, 10.5, 10, 13, 11, 15
1, 17, 14, 15, 13, 13, 15, 11, 17
1, 2.1, 2, 2, 2.1, 2.1, 2.05, 2, 2.1
-1, 2.5, 2.4, 2.35, 2.4, 2.4, 2.5, 2.45, 2.4
-1, 3.2, 3.4, 3.25, 3, 3.2, 3.2, 3.1, 3.25
1, 3.6, 3.6, 3.5, 3.6, 3.4, 3.75, 3.4, 3.5
1, 19, 17, 15, 13, 13, 19, 15, 21
-1, 3.6, 3.7, 3.6, 3.3, 3.4, 3.6, 3.6, 3.6
-1, 2.7, 2.7, 2.6, 2.65, 2.3, 2.7, 2.75, 2.7
-1, 1.83, 1.85, 1.85, 1.9, 1.73, 1.95, 1.83, 1.91
0, 3.1, 3.1, 3, 3.3, 2.7, 3.1, 2.8, 3.1
0, 3.1, 3.3, 3, 3.4, 2.88, 2.88, 3.1, 3.1
1, 3.8, 3.9, 3.6, 4, 3.4, 3.75, 3.6, 3.6
-1, 1.29, 1.31, 1.3, 1.3, 1.25, 1.29, 1.29, 1.27
1, 7.5, 7.5, 8, 7.5, 8, 8, 7.5, 8
1, 1.55, 1.55, 1.55, 1.5, 1.5, 1.57, 1.55, 1.53
1, 7, 6.5, 6, 5.2, 5.5, 6.25, 6, 6.5
0, 1.36, 1.42, 1.4, 1.4, 1.36, 1.4, 1.44, 1.4
-1, 4.5, 3.9, 4, 3.8, 3.4, 4.2, 3.8, 4.2
0, 3.3, 3.1, 3.1, 3.1, 3, 3.2, 3.1, 3.2
-1, 3.3, 3.2, 3.1, 3.4, 3.2, 3.25, 3.2, 3.2
1, 17, 20, 21, 16, 15, 17, 21, 21
1, 7.5, 7.5, 7, 7.5, 7, 7.5, 7.5, 7.5
1, 5.5, 5, 5, 5.2, 5.5, 5.75, 5, 5.75
-1, 2.88, 2.95, 2.75, 3, 2.7, 2.8, 2.6, 2.88
-1, 2, 1.91, 2, 2, 1.91, 1.95, 2, 2
1, 1.62, 1.6, 1.6, 1.65, 1.62, 1.6, 1.62, 1.62
0, 3.1, 2.9, 2.9, 2.9, 3, 3.05, 3, 3
-1, 3.4, 3.6, 3.2, 3.3, 3.2, 3.4, 3.2, 3.25
1, 3.25, 3.3, 3, 3.1, 2.62, 3.25, 3.1, 3
1, 3.75, 3.7, 3.6, 3.3, 3.2, 3.7, 3.3, 3.4
-1, 3, 3.1, 3, 2.9, 2.62, 3.05, 2.75, 3
1, 7, 7, 7.5, 7, 6.5, 7.5, 7, 7.5
0, 15, 18.5, 16, 16, 17, 17, 15, 17
1, 13, 11.5, 12, 10.5, 13, 15, 11, 12
1, 2.9, 2.8, 2.9, 2.9, 2.7, 3.1, 2.9, 3
0, 3, 2.9, 2.9, 2.9, 2.88, 3, 2.8, 2.9
-1, 1.44, 1.48, 1.45, 1.4, 1.36, 1.45, 1.44, 1.44
1, 4, 3.75, 3.6, 3.8, 3.4, 3.7, 3.75, 3.8
1, 5, 5, 5, 4.7, 4.5, 4.5, 5, 4.75
1, 17, 16.5, 16, 16, 17, 17, 17, 19
-1, 1.44, 1.45, 1.44, 1.4, 1.44, 1.44, 1.4, 1.44
-1, 1.57, 1.55, 1.55, 1.4, 1.5, 1.53, 1.44, 1.53
1, 2.4, 2.45, 2.45, 2.55, 2.25, 2.5, 2.4, 2.4
-1, 3.25, 3.2, 3.1, 3.1, 3.2, 3.25, 2.9, 3.1
0, 4.75, 4.75, 4.5, 4.3, 4.33, 4.7, 4.8, 4.75
0, 2.2, 2.2, 2.2, 2.3, 2, 2.2, 2.2, 2.2
1, 1.85, 1.83, 1.85, 1.85, 1.8, 1.8, 1.91, 1.83
0, 1.4, 1.4, 1.45, 1.4, 1.4, 1.4, 1.44, 1.4
1, 9, 10, 10, 8, 9, 9.5, 11, 9
-1, 2.63, 2.5, 2.5, 2.55, 2.5, 2.55, 2.4, 2.5
0, 1.36, 1.4, 1.35, 1.3, 1.33, 1.35, 1.36, 1.36
-1, 3.1, 2.9, 2.85, 2.55, 2.6, 2.9, 2.8, 2.88
1, 3.6, 3.4, 3.3, 3.4, 3.4, 3.5, 3.4, 3.4
1, 5, 5.5, 5.25, 5.6, 5, 5.5, 5, 5.75
1, 10, 10, 10, 12, 10, 11, 11, 10
-1, 2.4, 2.35, 2.5, 2.3, 2.25, 2.55, 2.25, 2.5
1, 4.75, 4.4, 4.25, 4, 3.75, 4.8, 4.2, 4.75
1, 15, 15, 15, 14, 15, 17, 15, 17
-1, 3.1, 3.1, 3, 3, 2.88, 3, 3.1, 3
-1, 4.33, 4.25, 4, 3.9, 3.5, 4.2, 3.8, 4.2
1, 3.75, 4.25, 4.5, 4.2, 3.75, 4.2, 4.33, 3.9
-1, 1.73, 1.72, 1.7, 1.8, 1.73, 1.75, 1.7, 1.64
1, 3.6, 3.4, 3.5, 3.8, 3.4, 3.5, 3.5, 3.75
1, 3.1, 3.1, 2.9, 3, 3, 3, 3.1, 3
0, 3.2, 3.2, 3, 3.1, 2.8, 3, 2.88, 2.88
1, 2.4, 2.5, 2.45, 2.4, 2.38, 2.4, 2.3, 2.4
-1, 3.75, 3.9, 4, 4, 4, 3.6, 3.8, 4
-1, 3.1, 3.1, 2.9, 3.2, 2.88, 3.1, 3.1, 3
0, 5, 5, 5, 4.3, 4.5, 5, 4.6, 5.25
-1, 2.25, 2.35, 2.25, 2.3, 2.2, 2.25, 2.25, 2.3
1, 2.1, 2.2, 2.1, 2.2, 2.1, 2.2, 2, 2.15
0, 1.57, 1.62, 1.6, 1.65, 1.57, 1.62, 1.57, 1.6
1, 11, 10, 9, 10.5, 10, 10.5, 11, 10
1, 5.5, 5.5, 4.75, 5.2, 5, 5, 5.5, 5.5
1, 17, 20, 15, 16, 15, 21, 17, 23
1, 3.1, 2.95, 3, 2.8, 3, 3.1, 3, 3.1
0, 3.25, 3.4, 3, 3.4, 3.2, 3.25, 3.3, 3.3
-1, 2.25, 2.2, 2.1, 2.2, 2, 2.3, 2.3, 2.25
-1, 3.6, 3.4, 3.4, 3.8, 3.4, 3.7, 3.4, 3.6
-1, 12, 11.5, 11, 9.5, 10, 11, 11, 13
1, 2.8, 2.55, 2.6, 2.5, 2.5, 2.63, 2.75, 2.63
-1, 1.5, 1.53, 1.48, 1.4, 1.4, 1.5, 1.5, 1.44
1, 3.1, 2.95, 2.9, 3.2, 2.75, 3, 3, 3
-1, 3, 2.95, 2.9, 3, 2.62, 3.1, 2.75, 3
0, 1.53, 1.56, 1.55, 1.45, 1.44, 1.53, 1.53, 1.53
-1, 2.6, 2.75, 2.75, 2.55, 2.6, 2.63, 2.7, 2.75
1, 7.5, 6.5, 7.5, 7.5, 7, 7, 5.5, 8
1, 4.75, 4.6, 4.25, 1.5, 3.75, 4.75, 4.6, 4
-1, 3, 2.95, 2.85, 1.5, 2.5, 2.88, 2.8, 2.75
1, 4.5, 4.6, 4.25, 5.2, 4, 4.5, 4, 4.33
0, 2.6, 2.7, 2.55, 2.7, 2.5, 2.55, 2.6, 2.5
0, 2.8, 2.6, 2.9, 1.5, 3, 2.95, 2.7, 2.9
1, 5.25, 4.75, 5.5, 4.5, 5.5, 5.25, 4.5, 6
1, 12, 10, 9, 9, 8, 10.5, 9.5, 9.5
-1, 2.88, 2.75, 2.65, 2.8, 2.88, 2.85, 2.8, 2.8
1, 2.38, 2.25, 2.25, 1.5, 2.2, 2.2, 2.15, 2.2
-1, 2.5, 2.5, 2.5, 2.7, 2.62, 2.65, 2.45, 2.5
0, 4.5, 4.75, 4.33, 4.3, 4.33, 4.5, 4.33, 4.8
-1, 1.44, 1.42, 1.44, 1.45, 1.44, 1.44, 1.44, 1.44
-1, 1.4, 1.42, 1.4, 1.45, 1.33, 1.4, 1.4, 1.4
1, 3.25, 3.6, 3.5, 3.4, 3.4, 3.3, 3.3, 3.5
1, 9, 9.75, 8, 7, 8, 9, 8, 8.5
-1, 5.25, 5.5, 5, 4.5, 5, 4.6, 5, 5.5
-1, 1.36, 1.42, 1.42, 1.5, 1.44, 1.4, 1.36, 1.4
1, 1.8, 1.7, 1.75, 1.8, 1.83, 1.75, 1.73, 1.8
0, 3, 2.8, 2.85, 2.9, 2.62, 2.85, 2.75, 3
-1, 17, 13, 12, 12, 9, 11, 12, 15
-1, 2.88, 2.7, 2.85, 3.1, 2.62, 2.9, 2.75, 2.75
0, 2.5, 2.45, 2.5, 2.5, 2.25, 2.55, 2.25, 2.5
0, 4, 4.2, 4, 4, 3.75, 4, 4, 4.2
1, 1.62, 1.55, 1.6, 1.65, 1.62, 1.57, 1.6, 1.53
0, 1.7, 1.75, 1.75, 1.8, 1.8, 1.75, 1.73, 1.8
0, 3.4, 3.1, 3.1, 3.2, 2.8, 3.2, 3, 3.25
-1, 2.9, 2.85, 2.85, 2.9, 2.6, 2.85, 2.9, 3
1, 13, 15.5, 12, 13, 12, 11, 13, 15
1, 6.5, 6.5, 6, 6.3, 5.5, 6.25, 6.5, 7.5
0, 5.75, 5, 5, 4.9, 4.5, 4.75, 5.5, 5
1, 15, 12, 13, 10.5, 11, 12, 11, 12
-1, 3.5, 3.4, 3.3, 3.2, 3.5, 3.3, 3.2, 3.75
1, 2.63, 2.6, 2.65, 2.8, 2.5, 2.7, 2.7, 2.63
1, 3.1, 3, 2.9, 2.9, 2.8, 3, 3, 2.8
0, 4.5, 4.5, 4, 4.4, 4.2, 4.2, 4, 4.33
-1, 1.4, 1.4, 1.4, 1.4, 1.4, 1.44, 1.4, 1.33
1, 6, 6.75, 5.5, 7, 5.5, 6.25, 6, 6
-1, 1.75, 1.75, 1.8, 1.85, 1.91, 1.75, 1.8, 1.8
1, 1.67, 1.62, 1.7, 1.72, 1.73, 1.7, 1.67, 1.67
1, 6, 5.5, 5.25, 5.2, 5, 5, 5, 6.75
0, 11, 9.75, 9, 10.5, 8, 8.5, 10, 13
1, 4, 3.8, 3.75, 3.6, 3, 3.8, 4, 3.75
1, 2.7, 2.75, 2.6, 2.6, 2.5, 2.75, 2.38, 2.6
0, 3.75, 3.8, 3.6, 3.8, 3.5, 3.4, 3.3, 3.8
1, 2.8, 2.9, 2.75, 2.9, 2.88, 2.7, 2.88, 2.88
0, 3.5, 3.4, 3.25, 3.3, 3.2, 3.3, 3.3, 3.2
1, 3.75, 3.6, 3.3, 3.6, 3.2, 3.6, 3.5, 3.6
0, 2.75, 2.85, 2.85, 2.7, 2.5, 2.8, 2.88, 3.1
1, 5, 5.5, 5, 4.9, 4.5, 5, 5, 5.25
1, 4.33, 4.4, 4.25, 3.8, 4, 4.2, 4.33, 4.33
0, 3.25, 3.5, 3.3, 3.3, 3, 3.4, 3.2, 3.6
0, 1.8, 1.75, 1.85, 1.85, 1.83, 1.85, 1.91, 1.95
0, 2.9, 2.95, 2.85, 2.8, 2.62, 2.88, 2.6, 3
-1, 1.53, 1.5, 1.55, 1.55, 1.53, 1.44, 1.53, 1.62
1, 7.5, 8, 7, 7, 6.5, 7, 7.5, 7
1, 3, 2.65, 2.6, 2.7, 2.75, 2.75, 2.7, 2.88
-1, 1.73, 1.55, 1.67, 1.75, 1.62, 1.67, 1.67, 1.65
1, 17, 16, 12, 14, 12, 11, 11, 14
1, 3.6, 3.4, 3.4, 3.3, 3.6, 3.4, 3.75, 3.75
1, 3.2, 3.1, 3, 2.9, 3, 3, 3.2, 3.25
0, 6.5, 6.5, 6.5, 7.5, 6, 7, 7, 7.5
1, 2.9, 2.9, 3, 2.9, 2.8, 3, 2.88, 2.8
1, 2.88, 2.75, 2.75, 2.9, 2.75, 2.85, 2.75, 3
1, 4.2, 3.9, 3.75, 3.3, 3.2, 3.75, 3.8, 4.1
1, 5, 5.25, 4.5, 4.3, 4.5, 4.75, 5, 5
1, 5.25, 5, 4.75, 4.7, 3.75, 4.75, 5, 5.5
-1, 2.88, 2.9, 2.8, 2.9, 2.75, 2.88, 2.62, 3
0, 2.88, 2.65, 2.75, 2.9, 2.75, 2.85, 2.75, 2.88
0, 1.91, 1.7, 1.8, 1.8, 1.8, 1.7, 1.85, 1.75
0, 1.62, 1.6, 1.65, 1.6, 1.62, 1.65, 1.65, 1.57
1, 3.4, 3.3, 3.1, 2.9, 3.2, 3.2, 3.3, 3.1
0, 3.9, 4.33, 3.75, 4, 4, 3.75, 4.2, 4.75
1, 2.38, 2.4, 2.3, 2.4, 2.38, 2.3, 2.4, 2.3
1, 5.5, 5.75, 5.25, 5.8, 6, 5, 5.5, 7
1, 4.33, 4.6, 4, 4.2, 3.5, 4, 3.75, 4.5
-1, 1.4, 1.42, 1.4, 1.4, 1.44, 1.33, 1.44, 1.4
1, 8, 8.75, 8, 8, 7, 8, 9, 8.5
1, 13, 14, 12, 12, 12, 13, 13, 14
1, 13, 13, 11, 10.5, 11, 12, 13, 12
-1, 1.5, 1.45, 1.5, 1.45, 1.5, 1.5, 1.53, 1.53
1, 1.83, 1.67, 1.72, 1.8, 1.67, 1.7, 1.67, 1.67
1, 3.4, 3.3, 3.3, 3.3, 3, 3.4, 3.25, 3.25
-1, 1.91, 1.75, 1.9, 1.85, 1.83, 1.88, 1.91, 2
1, 5, 4.33, 4.2, 4.2, 3.75, 4.2, 4.2, 4.33
0, 3, 3.2, 3.1, 2.9, 2.88, 3.2, 3.1, 2.9
1, 5.5, 5.75, 5.75, 5.8, 5, 5.75, 6, 6
0, 3.25, 3.1, 3.1, 3.3, 3.2, 3.1, 3.2, 3.4
-1, 3.1, 3.1, 3, 3, 2.75, 3.1, 2.88, 3
0, 2.5, 2.45, 2.5, 2.6, 2.25, 2.45, 2.25, 2.38
0, 4.2, 3.9, 3.85, 3.6, 3.5, 3.75, 4, 4.33
0, 2.8, 2.85, 2.75, 2.9, 2.5, 2.88, 2.7, 3
1, 4.33, 4.2, 4, 4.2, 3.75, 4, 4.33, 4.2
-1, 7, 7.75, 6.5, 5.8, 6, 7, 6, 7.5
-1, 6.5, 6, 6, 5.8, 5, 6, 6.5, 6.5
0, 3.25, 3.25, 3.1, 3, 3.5, 3.2, 3.6, 3.5
-1, 2.15, 2, 2.05, 2, 2.2, 1.95, 2.15, 2.2
1, 2.8, 2.85, 2.7, 2.9, 2.75, 2.7, 2.88, 2.9
1, 14, 12.5, 12, 13, 10, 12, 17, 17
1, 4.2, 3.6, 3.8, 4, 3.5, 3.75, 3.5, 4.2
0, 3.6, 3.3, 3.4, 3.4, 3.2, 3.5, 3.5, 3.5
1, 19, 17, 16, 14, 13, 15, 19, 21
1, 3.3, 3.2, 3.1, 3.3, 3, 2.9, 3.2, 3.4
-1, 2.5, 2.45, 2.5, 2.7, 2.5, 2.5, 2.5, 2.6
1, 2.75, 2.85, 2.7, 2.7, 2.5, 2.7, 2.6, 2.8
1, 3.4, 3.3, 3.1, 3.3, 3, 3.1, 3, 3.6
0, 2, 1.91, 1.9, 2.1, 2, 1.88, 2.05, 1.85
-1, 1.53, 1.5, 1.5, 1.55, 1.5, 1.5, 1.53, 1.57
-1, 2.88, 2.75, 2.75, 2.8, 2.6, 2.8, 2.6, 2.8
1, 5.5, 5.25, 5, 5.2, 4.33, 5, 5, 5.75
-1, 2.5, 2.5, 2.5, 2.65, 2.5, 2.6, 2.6, 2.5
1, 15, 13, 12, 12, 9, 11, 12, 17
0, 5, 5.75, 4.75, 4.7, 5, 5.25, 5, 5.5
1, 2.3, 2.3, 2.35, 2.45, 2.5, 2.35, 2.25, 2.38
-1, 1.57, 1.6, 1.57, 1.55, 1.5, 1.6, 1.55, 1.5
0, 3.75, 3.3, 3.2, 3.2, 3.2, 3.2, 3.75, 3.5
1, 19, 19, 15, 14, 13, 15, 15, 21
1, 6, 6.25, 5.5, 5.8, 6, 5.75, 5.5, 7
-1, 3.5, 3.5, 3.5, 3.4, 3.4, 3.6, 3.6, 3.5
1, 5.5, 5.5, 5, 5.8, 5, 5, 5, 5
1, 2.8, 2.65, 2.6, 2.5, 2.5, 2.65, 2.62, 2.8
1, 15, 13, 11, 12, 11, 13, 11, 14
0, 6, 5, 5.25, 6.3, 5.5, 5.5, 5.5, 6
-1, 2.7, 2.65, 2.6, 2.4, 2.38, 2.55, 2.5, 2.7
0, 2.88, 2.8, 2.85, 2.9, 2.5, 2.8, 2.75, 2.8
-1, 1.44, 1.4, 1.4, 1.4, 1.4, 1.4, 1.4, 1.4
-1, 1.67, 1.67, 1.65, 1.6, 1.67, 1.65, 1.67, 1.62
-1, 3, 2.65, 2.8, 2.8, 2.8, 2.7, 3, 2.88
1, 17, 16, 12, 12, 10, 13, 13, 13
1, 4.2, 3.8, 4, 4.2, 4, 4.2, 4.2, 4
0, 3.25, 3.1, 2.9, 3.3, 3, 2.9, 3.1, 3.1
-1, 7.5, 7.5, 7, 7, 7, 7, 6.5, 7
-1, 1.67, 1.6, 1.67, 1.6, 1.67, 1.65, 1.7, 1.57
0, 4.2, 4.5, 4, 4.2, 4.33, 4.2, 4.2, 4.5
-1, 3.5, 3.4, 3.1, 3.3, 3.2, 3.1, 3.3, 3.6
-1, 1.67, 1.6, 1.7, 1.75, 1.73, 1.73, 1.73, 1.67
1, 4.75, 5, 4.75, 4.5, 5, 5, 5, 5.75
-1, 9, 9.5, 8, 8.5, 8, 8, 8.5, 9
-1, 1.57, 1.5, 1.57, 1.55, 1.44, 1.55, 1.57, 1.5
-1, 3.75, 3.9, 3.6, 3.3, 3.75, 3.75, 3.8, 4
1, 4.5, 4.33, 4, 4.5, 4.5, 4.5, 4, 4.75
1, 23, 16.5, 15, 16, 13, 15, 13, 17
-1, 2.75, 2.75, 2.75, 2.8, 2.75, 2.75, 2.8, 2.75
-1, 1.4, 1.34, 1.4, 1.4, 1.33, 1.35, 1.4, 1.38
1, 13, 12, 10, 11, 8, 10, 12, 12
0, 3.8, 3.75, 3.6, 3.7, 3.1, 3.4, 3.4, 4.33
1, 3.2, 3.4, 3.2, 3.4, 3.2, 3.4, 3, 3.25
0, 3.75, 3.8, 3.4, 3.2, 2.88, 3.3, 3.4, 3.8
-1, 2.55, 2.6, 2.4, 2.5, 2.3, 2.45, 2.5, 2.5
0, 8, 7, 7.5, 7, 7, 7.5, 7.5, 8.5
-1, 1.83, 1.8, 1.8, 1.9, 1.83, 1.8, 1.83, 1.8
1, 13, 12, 11, 13, 12, 11, 13, 12
0, 10, 11, 10, 12, 8, 10, 11, 10
-1, 2.5, 2.35, 2.4, 2.55, 2.25, 2.4, 2.4, 2.5
0, 3.3, 3.1, 3.1, 3.1, 3, 3.2, 3, 3.25
0, 4.2, 4.1, 3.8, 4.2, 3.5, 3.8, 3.8, 4
-1, 3.2, 3.1, 3.1, 3.3, 3.3, 3.1, 3.2, 3.25
-1, 2.45, 2.55, 2.5, 2.55, 2.3, 2.55, 2.4, 2.5
1, 17, 16, 14, 16, 13, 13, 13, 19
-1, 1.33, 1.31, 1.33, 1.35, 1.33, 1.3, 1.33, 1.29
-1, 4.2, 4.4, 4, 4, 3.5, 4, 4, 4.1
0, 1.91, 1.85, 1.9, 1.85, 1.83, 1.85, 1.85, 1.91
1, 11, 10, 10, 8.5, 10, 11, 9, 12
1, 2.8, 2.65, 2.6, 2.6, 2.5, 2.55, 2.7, 2.8
1, 3.6, 3.1, 3.3, 3.3, 3.4, 3.4, 3.4, 3.4
1, 4, 4, 3.5, 3.5, 3.5, 4, 3.8, 4
-1, 1.91, 1.8, 1.8, 1.9, 1.8, 1.73, 2, 1.83
0, 4.2, 4.33, 3.75, 3.7, 3.75, 4.2, 3.75, 4.33
-1, 2.55, 2.6, 2.6, 2.8, 2.8, 2.7, 2.7, 2.5
0, 2.6, 2.4, 2.4, 2.4, 2.38, 2.4, 2.5, 2.38
-1, 3.6, 3.4, 3.3, 3.4, 3.2, 3.75, 3.8, 3.6
1, 3.8, 3.75, 3.6, 3.7, 3.2, 3.6, 3.6, 3.75
0, 3.25, 3.2, 3, 3.3, 3, 3.25, 3.2, 3
-1, 5, 4.6, 4.75, 4.9, 5, 5, 4.8, 6
-1, 2.25, 2.05, 2.1, 2.2, 2.2, 2.2, 2.1, 2.15
-1, 5.5, 4.6, 4.75, 5.2, 5, 5, 4.8, 5.5
-1, 1.44, 1.37, 1.4, 1.4, 1.4, 1.36, 1.44, 1.36
1, 5, 4.5, 4.5, 4.7, 5, 4.5, 4.75, 5.5
-1, 4.75, 4.75, 4.5, 4.5, 3.75, 4.6, 4.5, 4.75
1, 12, 11.5, 10, 11, 10, 10, 9.5, 13
1, 2.1, 1.95, 2, 2, 2.1, 1.91, 2.05, 2.1
1, 3.6, 3.5, 3.3, 3.1, 2.8, 3.3, 3.75, 3.25
0, 2.1, 2.1, 2.15, 2, 2, 2.1, 2.05, 2.15
0, 3.4, 3.2, 3.1, 3.3, 3, 3.2, 3.3, 3.4
1, 12, 11, 10, 12, 10, 9, 9.5, 11
-1, 4.2, 4.33, 3.75, 3.7, 3.5, 4, 3.8, 4.2
0, 2.9, 2.9, 2.85, 3.1, 2.62, 2.9, 3, 3.1
